Ticket ID,Ticket Type,Ticket Priority,Ticket Status,Ticket Channel,Cluster,Country,Average_First_Response_Minutes,Customer Satisfaction Rating
60,Product inquiry,Medium,Closed,Chat,Cancellation request,Other,30,3.0
61,Cancellation request,Medium,Closed,Chat,Product setup,USA,30,1.0
62,Product inquiry,Critical,Pending Customer Response,Social media,Battery life,Japan,30,0.0
63,Billing inquiry,High,Closed,Email,Payment issue,UK,30,4.0
64,Billing inquiry,High,Pending Customer Response,Phone,Hardware issue,Other,30,0.0
65,Technical issue,Medium,Open,Phone,Product compatibility,Other,30,0.0
66,Technical issue,Medium,Pending Customer Response,Phone,Battery life,Japan,30,0.0
67,Billing inquiry,High,Closed,Email,Product compatibility,Other,30,5.0
68,Cancellation request,Low,Pending Customer Response,Phone,Peripheral compatibility,Germany,30,0.0
69,Technical issue,Critical,Pending Customer Response,Chat,Product compatibility,Other,30,0.0
70,Refund request,High,Closed,Chat,Refund request,UK,30,1.0
71,Cancellation request,Medium,Pending Customer Response,Chat,Product setup,USA,30,0.0
72,Refund request,Medium,Open,Social media,Delivery problem,Other,30,0.0
73,Billing inquiry,Low,Closed,Chat,Display issue,Other,30,4.0
74,Cancellation request,Critical,Closed,Social media,Payment issue,UK,30,3.0
75,Billing inquiry,Critical,Open,Email,Product setup,USA,30,0.0
76,Product inquiry,Critical,Closed,Chat,Display issue,Other,30,1.0
77,Cancellation request,Critical,Open,Phone,Account access,UK,30,0.0
78,Billing inquiry,Low,Closed,Email,Delivery problem,Other,30,5.0
79,Billing inquiry,Medium,Pending Customer Response,Social media,Data loss,Germany,30,0.0
80,Technical issue,Critical,Pending Customer Response,Chat,Software bug,Other,30,0.0
81,Technical issue,Critical,Pending Customer Response,Phone,Product recommendation,Other,30,0.0
82,Cancellation request,Medium,Pending Customer Response,Email,Cancellation request,Other,30,0.0
83,Refund request,Low,Closed,Social media,Software bug,Other,30,1.0
84,Technical issue,Critical,Pending Customer Response,Phone,Installation support,USA,30,0.0
85,Technical issue,Medium,Open,Phone,Hardware issue,Other,30,0.0
86,Product inquiry,High,Open,Social media,Peripheral compatibility,Germany,30,0.0
87,Technical issue,Critical,Closed,Phone,Product recommendation,Other,30,2.0
88,Technical issue,High,Pending Customer Response,Social media,Delivery problem,Other,30,0.0
89,Billing inquiry,Critical,Open,Email,Product setup,USA,30,0.0
90,Product inquiry,Medium,Closed,Email,Product recommendation,Other,30,5.0
91,Refund request,High,Pending Customer Response,Phone,Software bug,Other,30,0.0
92,Product inquiry,Low,Pending Customer Response,Email,Display issue,Other,30,0.0
93,Technical issue,Low,Pending Customer Response,Email,Peripheral compatibility,Germany,30,0.0
94,Refund request,Low,Open,Email,Installation support,USA,30,0.0
95,Product inquiry,Critical,Open,Phone,Account access,UK,30,0.0
96,Product inquiry,High,Closed,Chat,Battery life,Japan,30,5.0
97,Cancellation request,High,Open,Social media,Battery life,Japan,30,0.0
98,Product inquiry,High,Pending Customer Response,Email,Delivery problem,Other,30,0.0
99,Billing inquiry,High,Closed,Chat,Refund request,UK,30,5.0
100,Technical issue,Low,Pending Customer Response,Chat,Hardware issue,Other,30,0.0
101,Cancellation request,High,Pending Customer Response,Email,Delivery problem,Other,30,0.0
102,Billing inquiry,Critical,Pending Customer Response,Phone,Software bug,Other,30,0.0
103,Refund request,Critical,Closed,Email,Battery life,Japan,30,3.0
104,Refund request,High,Open,Chat,Battery life,Japan,30,0.0
105,Refund request,High,Open,Phone,Product recommendation,Other,30,0.0
106,Product inquiry,Critical,Pending Customer Response,Chat,Battery life,Japan,30,0.0
107,Cancellation request,Low,Closed,Email,Installation support,USA,30,2.0
108,Technical issue,High,Pending Customer Response,Email,Account access,UK,30,0.0
109,Technical issue,Critical,Closed,Chat,Product setup,USA,30,4.0
110,Product inquiry,High,Open,Email,Account access,UK,30,0.0
111,Cancellation request,High,Closed,Email,Peripheral compatibility,Germany,30,2.0
112,Refund request,High,Open,Phone,Display issue,Other,30,0.0
113,Product inquiry,Medium,Open,Social media,Display issue,Other,30,0.0
114,Cancellation request,High,Closed,Email,Payment issue,UK,30,1.0
115,Cancellation request,High,Closed,Email,Battery life,Japan,30,1.0
116,Technical issue,Critical,Open,Email,Delivery problem,Other,30,0.0
117,Cancellation request,High,Closed,Email,Software bug,Other,30,5.0
118,Billing inquiry,Medium,Closed,Phone,Product setup,USA,30,5.0
119,Refund request,High,Open,Email,Data loss,Germany,30,0.0
120,Billing inquiry,Low,Closed,Phone,Software bug,Other,30,2.0
121,Billing inquiry,Medium,Pending Customer Response,Chat,Refund request,UK,30,0.0
122,Product inquiry,Critical,Open,Chat,Peripheral compatibility,Germany,30,0.0
123,Refund request,Low,Open,Social media,Installation support,USA,30,0.0
124,Product inquiry,Low,Pending Customer Response,Email,Battery life,Japan,30,0.0
125,Technical issue,High,Pending Customer Response,Phone,Product setup,USA,30,0.0
126,Refund request,Medium,Open,Chat,Display issue,Other,30,0.0
127,Billing inquiry,Low,Open,Social media,Cancellation request,Other,30,0.0
128,Refund request,Low,Pending Customer Response,Email,Cancellation request,Other,30,0.0
129,Cancellation request,Medium,Closed,Email,Hardware issue,Other,30,3.0
130,Cancellation request,Low,Pending Customer Response,Email,Cancellation request,Other,30,0.0
131,Billing inquiry,Medium,Closed,Email,Product recommendation,Other,30,2.0
132,Product inquiry,Critical,Pending Customer Response,Social media,Battery life,Japan,30,0.0
133,Cancellation request,Medium,Open,Phone,Data loss,Germany,30,0.0
134,Refund request,Critical,Closed,Phone,Refund request,UK,30,5.0
135,Cancellation request,Critical,Closed,Email,Product setup,USA,30,2.0
136,Product inquiry,Low,Pending Customer Response,Chat,Software bug,Other,30,0.0
137,Cancellation request,Critical,Open,Email,Software bug,Other,30,0.0
138,Technical issue,Low,Closed,Chat,Network problem,India,30,4.0
139,Product inquiry,Critical,Closed,Chat,Product compatibility,Other,30,2.0
140,Cancellation request,Low,Pending Customer Response,Phone,Battery life,Japan,30,0.0
141,Cancellation request,Critical,Closed,Email,Product setup,USA,30,1.0
142,Technical issue,High,Closed,Chat,Software bug,Other,30,2.0
143,Billing inquiry,High,Pending Customer Response,Chat,Product compatibility,Other,30,0.0
144,Cancellation request,Critical,Open,Email,Account access,UK,30,0.0
145,Refund request,Low,Open,Social media,Data loss,Germany,30,0.0
146,Cancellation request,Medium,Pending Customer Response,Email,Refund request,UK,30,0.0
147,Cancellation request,Low,Open,Email,Battery life,Japan,30,0.0
148,Billing inquiry,Low,Closed,Social media,Product compatibility,Other,30,3.0
149,Refund request,High,Closed,Chat,Installation support,USA,30,1.0
150,Technical issue,Critical,Closed,Email,Peripheral compatibility,Germany,30,3.0
151,Refund request,Critical,Closed,Email,Product recommendation,Other,30,4.0
152,Refund request,Medium,Pending Customer Response,Phone,Display issue,Other,30,0.0
153,Product inquiry,Low,Pending Customer Response,Social media,Account access,UK,30,0.0
154,Technical issue,Medium,Pending Customer Response,Social media,Cancellation request,Other,30,0.0
155,Technical issue,Medium,Open,Social media,Product recommendation,Other,30,0.0
156,Cancellation request,Low,Open,Chat,Delivery problem,Other,30,0.0
157,Product inquiry,Low,Open,Social media,Delivery problem,Other,30,0.0
158,Technical issue,Medium,Open,Phone,Refund request,UK,30,0.0
159,Product inquiry,Low,Pending Customer Response,Social media,Hardware issue,Other,30,0.0
160,Billing inquiry,High,Pending Customer Response,Email,Cancellation request,Other,30,0.0
161,Refund request,High,Pending Customer Response,Email,Account access,UK,30,0.0
162,Refund request,High,Closed,Phone,Product setup,USA,30,3.0
163,Refund request,Critical,Closed,Phone,Payment issue,UK,30,1.0
164,Cancellation request,Medium,Closed,Phone,Product recommendation,Other,30,3.0
165,Billing inquiry,Low,Closed,Social media,Product setup,USA,30,5.0
166,Product inquiry,Low,Pending Customer Response,Email,Network problem,India,30,0.0
167,Refund request,Medium,Closed,Email,Battery life,Japan,30,3.0
168,Technical issue,Medium,Closed,Chat,Delivery problem,Other,30,3.0
169,Billing inquiry,High,Open,Social media,Delivery problem,Other,30,0.0
170,Product inquiry,Medium,Closed,Phone,Network problem,India,30,1.0
171,Billing inquiry,Low,Closed,Social media,Product setup,USA,30,4.0
172,Refund request,Low,Open,Chat,Refund request,UK,30,0.0
173,Cancellation request,Medium,Pending Customer Response,Social media,Product compatibility,Other,30,0.0
174,Refund request,Medium,Pending Customer Response,Email,Product recommendation,Other,30,0.0
175,Technical issue,Critical,Pending Customer Response,Chat,Data loss,Germany,30,0.0
176,Technical issue,Medium,Closed,Email,Delivery problem,Other,30,4.0
177,Technical issue,Medium,Pending Customer Response,Email,Refund request,UK,30,0.0
178,Cancellation request,High,Pending Customer Response,Phone,Product recommendation,Other,30,0.0
179,Billing inquiry,Medium,Open,Chat,Peripheral compatibility,Germany,30,0.0
180,Billing inquiry,Critical,Pending Customer Response,Phone,Data loss,Germany,30,0.0
181,Refund request,Medium,Pending Customer Response,Email,Product compatibility,Other,30,0.0
182,Cancellation request,Critical,Pending Customer Response,Social media,Account access,UK,30,0.0
183,Product inquiry,High,Closed,Chat,Delivery problem,Other,30,4.0
184,Billing inquiry,Medium,Closed,Phone,Network problem,India,30,4.0
185,Refund request,High,Pending Customer Response,Chat,Product setup,USA,30,0.0
186,Technical issue,Low,Open,Phone,Software bug,Other,30,0.0
187,Product inquiry,Medium,Pending Customer Response,Phone,Refund request,UK,30,0.0
188,Cancellation request,Low,Pending Customer Response,Phone,Network problem,India,30,0.0
189,Refund request,High,Closed,Phone,Product compatibility,Other,30,1.0
190,Technical issue,Critical,Open,Social media,Display issue,Other,30,0.0
191,Refund request,Critical,Pending Customer Response,Phone,Product setup,USA,30,0.0
192,Product inquiry,Low,Pending Customer Response,Email,Delivery problem,Other,30,0.0
193,Product inquiry,Medium,Closed,Phone,Account access,UK,30,1.0
194,Cancellation request,Critical,Pending Customer Response,Chat,Refund request,UK,30,0.0
195,Billing inquiry,Medium,Closed,Social media,Payment issue,UK,30,2.0
196,Refund request,High,Open,Social media,Product compatibility,Other,30,0.0
197,Refund request,Low,Pending Customer Response,Social media,Display issue,Other,30,0.0
198,Refund request,High,Closed,Chat,Delivery problem,Other,30,3.0
199,Cancellation request,Critical,Closed,Chat,Product setup,USA,30,5.0
200,Product inquiry,Medium,Closed,Chat,Software bug,Other,30,5.0
201,Product inquiry,Critical,Open,Email,Cancellation request,Other,30,0.0
202,Refund request,Medium,Open,Social media,Delivery problem,Other,30,0.0
203,Billing inquiry,Medium,Open,Chat,Product setup,USA,30,0.0
204,Product inquiry,Low,Pending Customer Response,Phone,Battery life,Japan,30,0.0
205,Cancellation request,High,Closed,Phone,Software bug,Other,30,3.0
206,Refund request,Medium,Closed,Phone,Delivery problem,Other,30,1.0
207,Billing inquiry,High,Open,Phone,Software bug,Other,30,0.0
208,Billing inquiry,Critical,Pending Customer Response,Email,Display issue,Other,30,0.0
209,Refund request,High,Open,Email,Account access,UK,30,0.0
210,Technical issue,Low,Closed,Chat,Delivery problem,Other,30,1.0
211,Technical issue,Low,Pending Customer Response,Phone,Software bug,Other,30,0.0
212,Product inquiry,Low,Pending Customer Response,Social media,Battery life,Japan,30,0.0
213,Technical issue,Medium,Open,Social media,Network problem,India,30,0.0
214,Billing inquiry,High,Open,Phone,Installation support,USA,30,0.0
215,Product inquiry,Low,Open,Email,Display issue,Other,30,0.0
216,Billing inquiry,Critical,Open,Chat,Peripheral compatibility,Germany,30,0.0
217,Technical issue,High,Pending Customer Response,Chat,Delivery problem,Other,30,0.0
218,Billing inquiry,Low,Open,Chat,Battery life,Japan,30,0.0
219,Billing inquiry,Critical,Pending Customer Response,Email,Battery life,Japan,30,0.0
220,Technical issue,Critical,Closed,Social media,Refund request,UK,30,2.0
221,Billing inquiry,Medium,Closed,Social media,Installation support,USA,30,5.0
222,Billing inquiry,Critical,Pending Customer Response,Chat,Installation support,USA,30,0.0
223,Cancellation request,Critical,Pending Customer Response,Phone,Account access,UK,30,0.0
224,Refund request,Low,Pending Customer Response,Chat,Product recommendation,Other,30,0.0
225,Refund request,Medium,Open,Chat,Network problem,India,30,0.0
226,Technical issue,High,Closed,Chat,Product recommendation,Other,30,4.0
227,Billing inquiry,High,Closed,Phone,Product recommendation,Other,30,4.0
228,Cancellation request,Low,Pending Customer Response,Phone,Product recommendation,Other,30,0.0
229,Billing inquiry,Low,Open,Phone,Product recommendation,Other,30,0.0
230,Technical issue,Critical,Closed,Social media,Hardware issue,Other,30,2.0
231,Refund request,Low,Pending Customer Response,Chat,Display issue,Other,30,0.0
232,Technical issue,High,Pending Customer Response,Phone,Account access,UK,30,0.0
233,Technical issue,High,Open,Email,Display issue,Other,30,0.0
234,Refund request,High,Pending Customer Response,Chat,Hardware issue,Other,30,0.0
235,Cancellation request,Critical,Open,Chat,Product compatibility,Other,30,0.0
236,Billing inquiry,Critical,Pending Customer Response,Email,Peripheral compatibility,Germany,30,0.0
237,Refund request,Critical,Closed,Phone,Refund request,UK,30,3.0
238,Product inquiry,High,Closed,Social media,Peripheral compatibility,Germany,30,4.0
239,Refund request,Critical,Pending Customer Response,Email,Product compatibility,Other,30,0.0
240,Cancellation request,Low,Open,Email,Software bug,Other,30,0.0
241,Technical issue,Low,Closed,Social media,Delivery problem,Other,30,5.0
242,Billing inquiry,Low,Closed,Social media,Product compatibility,Other,30,2.0
243,Technical issue,Critical,Open,Chat,Delivery problem,Other,30,0.0
244,Technical issue,Critical,Pending Customer Response,Chat,Delivery problem,Other,30,0.0
245,Cancellation request,Medium,Pending Customer Response,Phone,Installation support,USA,30,0.0
246,Billing inquiry,Medium,Pending Customer Response,Phone,Product setup,USA,30,0.0
247,Technical issue,Medium,Pending Customer Response,Chat,Account access,UK,30,0.0
248,Billing inquiry,Medium,Open,Chat,Hardware issue,Other,30,0.0
249,Refund request,Critical,Pending Customer Response,Social media,Software bug,Other,30,0.0
250,Refund request,High,Closed,Chat,Product compatibility,Other,30,3.0
251,Technical issue,Critical,Closed,Phone,Product setup,USA,30,2.0
252,Technical issue,Critical,Pending Customer Response,Social media,Payment issue,UK,30,0.0
253,Cancellation request,High,Pending Customer Response,Social media,Network problem,India,30,0.0
254,Technical issue,High,Pending Customer Response,Social media,Cancellation request,Other,30,0.0
255,Refund request,Low,Pending Customer Response,Email,Installation support,USA,30,0.0
256,Refund request,High,Open,Social media,Network problem,India,30,0.0
257,Cancellation request,High,Pending Customer Response,Chat,Installation support,USA,30,0.0
258,Cancellation request,High,Open,Social media,Hardware issue,Other,30,0.0
259,Product inquiry,High,Open,Chat,Cancellation request,Other,30,0.0
260,Billing inquiry,Low,Closed,Social media,Battery life,Japan,30,5.0
261,Billing inquiry,High,Pending Customer Response,Social media,Network problem,India,30,0.0
262,Billing inquiry,Critical,Open,Phone,Hardware issue,Other,30,0.0
263,Product inquiry,Medium,Closed,Chat,Hardware issue,Other,30,2.0
264,Product inquiry,Medium,Open,Chat,Display issue,Other,30,0.0
265,Refund request,Critical,Closed,Social media,Cancellation request,Other,30,3.0
266,Cancellation request,Medium,Closed,Chat,Product compatibility,Other,30,2.0
267,Technical issue,High,Open,Phone,Product setup,USA,30,0.0
268,Technical issue,Low,Open,Social media,Product recommendation,Other,30,0.0
269,Cancellation request,Medium,Pending Customer Response,Phone,Refund request,UK,30,0.0
270,Refund request,High,Closed,Social media,Hardware issue,Other,30,3.0
271,Billing inquiry,Critical,Closed,Phone,Data loss,Germany,30,1.0
272,Refund request,Critical,Open,Phone,Payment issue,UK,30,0.0
273,Technical issue,Critical,Pending Customer Response,Chat,Cancellation request,Other,30,0.0
274,Technical issue,High,Open,Phone,Hardware issue,Other,30,0.0
275,Cancellation request,Medium,Open,Chat,Product setup,USA,30,0.0
276,Refund request,Low,Open,Chat,Network problem,India,30,0.0
277,Billing inquiry,Medium,Open,Chat,Product recommendation,Other,30,0.0
278,Billing inquiry,Medium,Closed,Chat,Refund request,UK,30,4.0
279,Technical issue,Low,Closed,Social media,Software bug,Other,30,5.0
280,Billing inquiry,High,Pending Customer Response,Social media,Product recommendation,Other,30,0.0
281,Product inquiry,Critical,Closed,Chat,Refund request,UK,30,2.0
282,Product inquiry,Low,Pending Customer Response,Social media,Hardware issue,Other,30,0.0
283,Cancellation request,Low,Open,Social media,Software bug,Other,30,0.0
284,Technical issue,Critical,Open,Social media,Payment issue,UK,30,0.0
285,Billing inquiry,Low,Pending Customer Response,Phone,Payment issue,UK,30,0.0
286,Technical issue,Medium,Pending Customer Response,Social media,Peripheral compatibility,Germany,30,0.0
287,Technical issue,Critical,Pending Customer Response,Phone,Cancellation request,Other,30,0.0
288,Product inquiry,Low,Open,Email,Product setup,USA,30,0.0
289,Refund request,High,Open,Chat,Delivery problem,Other,30,0.0
290,Refund request,Critical,Pending Customer Response,Email,Product setup,USA,30,0.0
291,Billing inquiry,Low,Pending Customer Response,Chat,Payment issue,UK,30,0.0
292,Cancellation request,High,Open,Social media,Data loss,Germany,30,0.0
293,Billing inquiry,High,Closed,Email,Product compatibility,Other,30,2.0
294,Product inquiry,Critical,Open,Social media,Payment issue,UK,30,0.0
295,Product inquiry,Critical,Closed,Phone,Cancellation request,Other,30,3.0
296,Refund request,Medium,Open,Email,Data loss,Germany,30,0.0
297,Billing inquiry,Medium,Closed,Social media,Installation support,USA,30,5.0
298,Cancellation request,Critical,Closed,Phone,Cancellation request,Other,30,2.0
299,Product inquiry,Low,Open,Chat,Network problem,India,30,0.0
300,Cancellation request,Medium,Pending Customer Response,Phone,Product recommendation,Other,30,0.0
301,Cancellation request,High,Open,Social media,Product recommendation,Other,30,0.0
302,Cancellation request,Medium,Open,Social media,Refund request,UK,30,0.0
303,Product inquiry,Medium,Closed,Phone,Peripheral compatibility,Germany,30,1.0
304,Cancellation request,Medium,Pending Customer Response,Social media,Peripheral compatibility,Germany,30,0.0
305,Cancellation request,Medium,Closed,Chat,Software bug,Other,30,5.0
306,Cancellation request,Critical,Open,Chat,Refund request,UK,30,0.0
307,Refund request,Low,Closed,Social media,Peripheral compatibility,Germany,30,2.0
308,Technical issue,Critical,Pending Customer Response,Social media,Product compatibility,Other,30,0.0
309,Product inquiry,High,Open,Chat,Delivery problem,Other,30,0.0
310,Technical issue,High,Open,Chat,Software bug,Other,30,0.0
311,Technical issue,High,Closed,Social media,Peripheral compatibility,Germany,30,2.0
312,Refund request,Critical,Closed,Chat,Product setup,USA,30,2.0
313,Technical issue,Medium,Closed,Email,Battery life,Japan,30,1.0
314,Product inquiry,Low,Open,Phone,Cancellation request,Other,30,0.0
315,Cancellation request,High,Closed,Email,Payment issue,UK,30,2.0
316,Cancellation request,Critical,Pending Customer Response,Chat,Hardware issue,Other,30,0.0
317,Cancellation request,High,Open,Chat,Hardware issue,Other,30,0.0
318,Technical issue,Low,Closed,Chat,Cancellation request,Other,30,4.0
319,Billing inquiry,Medium,Pending Customer Response,Email,Refund request,UK,30,0.0
320,Refund request,Critical,Open,Phone,Hardware issue,Other,30,0.0
321,Cancellation request,Medium,Closed,Email,Software bug,Other,30,4.0
322,Billing inquiry,High,Open,Email,Product setup,USA,30,0.0
323,Refund request,Critical,Closed,Social media,Battery life,Japan,30,3.0
324,Technical issue,Critical,Open,Social media,Data loss,Germany,30,0.0
325,Product inquiry,Low,Pending Customer Response,Phone,Battery life,Japan,30,0.0
326,Refund request,Low,Closed,Phone,Hardware issue,Other,30,4.0
327,Product inquiry,Critical,Pending Customer Response,Email,Account access,UK,30,0.0
328,Refund request,Low,Open,Social media,Delivery problem,Other,30,0.0
329,Technical issue,Medium,Open,Chat,Product compatibility,Other,30,0.0
330,Refund request,Medium,Closed,Chat,Product recommendation,Other,30,5.0
331,Refund request,Low,Open,Phone,Product recommendation,Other,30,0.0
332,Cancellation request,Medium,Pending Customer Response,Phone,Account access,UK,30,0.0
333,Technical issue,Medium,Closed,Social media,Delivery problem,Other,30,2.0
334,Technical issue,Medium,Closed,Phone,Installation support,USA,30,2.0
335,Product inquiry,High,Pending Customer Response,Email,Product recommendation,Other,30,0.0
336,Cancellation request,High,Open,Phone,Installation support,USA,30,0.0
337,Technical issue,Critical,Pending Customer Response,Phone,Product compatibility,Other,30,0.0
338,Technical issue,High,Open,Email,Account access,UK,30,0.0
339,Technical issue,Critical,Closed,Social media,Product compatibility,Other,30,3.0
340,Product inquiry,Low,Closed,Email,Data loss,Germany,30,1.0
341,Billing inquiry,Medium,Open,Phone,Cancellation request,Other,30,0.0
342,Cancellation request,Critical,Pending Customer Response,Email,Product compatibility,Other,30,0.0
343,Cancellation request,Low,Closed,Chat,Cancellation request,Other,30,5.0
344,Product inquiry,Medium,Open,Phone,Refund request,UK,30,0.0
345,Technical issue,High,Closed,Phone,Network problem,India,30,3.0
346,Technical issue,High,Closed,Social media,Payment issue,UK,30,5.0
347,Technical issue,Low,Open,Email,Cancellation request,Other,30,0.0
348,Refund request,Medium,Open,Chat,Product recommendation,Other,30,0.0
349,Technical issue,Medium,Pending Customer Response,Email,Battery life,Japan,30,0.0
350,Billing inquiry,Critical,Closed,Email,Battery life,Japan,30,3.0
351,Cancellation request,Critical,Closed,Social media,Product compatibility,Other,30,2.0
352,Cancellation request,Medium,Pending Customer Response,Phone,Account access,UK,30,0.0
353,Refund request,High,Closed,Email,Installation support,USA,30,2.0
354,Cancellation request,Critical,Closed,Chat,Refund request,UK,30,4.0
355,Billing inquiry,Medium,Pending Customer Response,Phone,Product recommendation,Other,30,0.0
356,Billing inquiry,High,Pending Customer Response,Social media,Product compatibility,Other,30,0.0
357,Technical issue,High,Closed,Chat,Cancellation request,Other,30,2.0
358,Refund request,Critical,Open,Social media,Software bug,Other,30,0.0
359,Billing inquiry,Low,Pending Customer Response,Social media,Battery life,Japan,30,0.0
360,Billing inquiry,Critical,Open,Chat,Product recommendation,Other,30,0.0
361,Cancellation request,Medium,Closed,Email,Network problem,India,30,5.0
362,Product inquiry,Medium,Closed,Chat,Product compatibility,Other,30,4.0
363,Product inquiry,Low,Open,Chat,Hardware issue,Other,30,0.0
364,Refund request,Critical,Open,Email,Battery life,Japan,30,0.0
365,Cancellation request,High,Closed,Chat,Payment issue,UK,30,1.0
366,Billing inquiry,Medium,Closed,Social media,Peripheral compatibility,Germany,30,3.0
367,Cancellation request,Critical,Open,Email,Hardware issue,Other,30,0.0
368,Billing inquiry,Critical,Open,Chat,Peripheral compatibility,Germany,30,0.0
369,Cancellation request,Low,Pending Customer Response,Chat,Account access,UK,30,0.0
370,Product inquiry,Low,Pending Customer Response,Chat,Software bug,Other,30,0.0
371,Refund request,Medium,Closed,Email,Account access,UK,30,2.0
372,Cancellation request,Medium,Closed,Email,Battery life,Japan,30,1.0
373,Refund request,Medium,Closed,Social media,Battery life,Japan,30,5.0
374,Technical issue,Critical,Closed,Phone,Cancellation request,Other,30,1.0
375,Product inquiry,Low,Pending Customer Response,Email,Installation support,USA,30,0.0
376,Product inquiry,Low,Closed,Phone,Refund request,UK,30,1.0
377,Refund request,Low,Pending Customer Response,Email,Hardware issue,Other,30,0.0
378,Cancellation request,Medium,Open,Phone,Product setup,USA,30,0.0
379,Refund request,Medium,Closed,Email,Data loss,Germany,30,4.0
380,Refund request,Medium,Open,Social media,Data loss,Germany,30,0.0
381,Product inquiry,Low,Closed,Email,Peripheral compatibility,Germany,30,5.0
382,Product inquiry,High,Closed,Email,Refund request,UK,30,4.0
383,Billing inquiry,Critical,Open,Email,Product setup,USA,30,0.0
384,Refund request,High,Closed,Social media,Display issue,Other,30,3.0
